"","num_doss","cluster_tt"
"355","G0430","1"
"356","G0431","2"
"357","G0433","1"
"358","G0434","1"
"359","G0435","1"
"360","G0437","1"
"361","G0438","2"
"362","G0439","2"
"363","G0440","2"
"364","G0441","2"
"365","G0443","1"
"366","G0444","1"
"367","G0446","2"
"368","G0447","2"
"369","G0449","2"
"370","G0450","2"
"371","G0451","2"
"372","G0452","2"
"373","G0453","1"
"374","G0454","2"
"375","G0455","2"
"376","G0456","2"
"377","G0457","2"
"378","G0458","1"
"379","G0460","1"
"380","G0461","1"
"381","G0463","1"
"382","G0464","2"
"383","G0465","1"
"384","G0466","2"
"385","G0467","1"
"386","G0469","2"
"387","G0470","2"
"388","G0471","1"
"389","G0472","1"
"390","G0473","1"
"391","G0474","2"
"392","G0476","2"
"393","G0477","1"
"394","G0478","1"
"395","G0479","2"
"396","G0480","2"
"397","G0482","2"
"398","G0483","2"
"399","G0484","2"
"400","G0485","2"
"401","G0486","1"
"402","G0487","1"
"403","G0488","2"
"404","G0489","2"
"405","G0490","1"
"406","G0491","2"
"407","G0492","2"
"408","G0493","1"
"409","G0494","2"
"410","G0495","2"
"411","G0496","1"
"412","G0497","2"
"413","G0498","2"
"414","G0499","2"
"415","G0500","1"
"416","G0501","1"
"417","G0502","1"
"418","G0503","1"
"419","G0505","1"
"420","G0506","2"
"421","G0507","1"
"422","G0508","2"
"423","G0509","1"
"424","G0510","1"
"425","G0511","2"
"426","G0512","2"
"427","G0513","2"
"428","G0514","1"
"429","G0515","1"
"430","G0517","2"
"431","G0519","2"
"432","G0520","1"
"433","G0521","2"
"434","G0522","2"
"435","G0523","1"
"436","G0524","2"
"437","G0525","1"
"438","G0526","1"
"439","G0527","2"
"440","G0528","2"
"441","G0529","2"
"442","G0530","2"
"443","G0531","1"
"444","G0532","1"
"445","G0533","2"
"446","G0535","2"
"447","G0536","2"
"448","G0537","2"
"449","G0538","1"
"450","G0539","2"
"451","G0540","1"
"452","G0541","2"
"453","G0542","1"
"454","G0543","2"
"455","G0545","2"
"456","G0546","1"
"457","G0547","2"
"458","G0548","2"
"459","G0549","2"
"460","G0551","2"
"461","G0552","1"
"462","G0553","1"
"463","G0554","2"
"464","G0555","1"
"465","G0557","2"
"466","G0558","1"
"467","G0559","1"
"468","G0560","2"
"469","G0561","2"
"470","G0562","1"
"471","G0563","1"
"472","G0564","2"
"473","G0565","1"
"474","G0566","1"
"475","G0567","1"
"476","G0568","1"
"477","G0569","2"
"478","G0570","1"
"479","G0571","2"
"480","G0572","2"
"481","G0573","2"
"482","G0574","1"
"483","G0575","2"
"484","G0576","1"
"485","G0577","1"
"486","G0578","2"
"487","G0579","1"
"488","G0580","1"
"489","G0582","1"
"490","G0583","2"
"491","G0584","1"
"492","G0586","2"
"493","G0587","1"
"494","G0588","1"
"495","G0589","2"
"496","G0591","2"
"497","G0592","2"
"498","G0593","2"
"499","G0594","1"
"500","G0595","2"
"501","G0597","2"
"502","G0598","2"
"503","G0599","1"
"504","G0601","2"
"505","G0602","2"
"506","G0603","1"
"507","G0604","2"
"508","G0605","1"
"509","G0606","2"
"510","G0607","1"
"511","G0610","2"
"512","G0611","1"
"513","G0612","2"
"514","G0613","1"
"515","G0614","2"
"516","G0615","2"
"517","G0616","2"
"518","G0618","1"
"519","G0619","2"
"520","G0621","1"
"521","G0622","1"
"522","G0623","1"
"523","G0624","2"
"524","G0625","2"
"525","G0627","1"
"526","G0628","2"
"527","G0629","2"
"528","G0630","1"
"529","G0631","1"
"530","G0632","1"
"531","G0633","1"
"532","G0634","2"
"533","G0637","1"
"534","G0639","2"
"535","G0640","1"
"536","G0641","2"
"537","G0642","2"
"538","G0643","2"
"539","G0644","2"
"540","G0645","2"
"541","G0646","2"
"542","G0648","1"
"543","G0649","2"
"544","G0650","1"
"545","G0651","2"
"546","G0652","1"
"547","G0653","2"
"548","G0655","2"
"549","G0656","1"
"550","G0657","1"
"551","G0658","1"
"552","G0659","2"
"553","G0660","1"
"554","G0661","2"
"555","G0662","1"
"556","G0663","1"
"557","G0664","2"
"558","G0665","1"
"559","G0666","1"
"560","G0667","1"
"561","G0669","1"
"562","G0670","1"
"563","G0671","2"
"564","G0672","2"
"565","G0673","2"
"566","G0674","2"
"567","G0675","2"
"568","G0676","2"
"569","G0677","2"
"570","G0678","1"
"571","G0679","2"
"572","G0680","2"
"573","G0681","2"
"574","G0682","1"
"575","G0683","1"
"576","G0684","1"
"577","G0685","1"
"578","G0686","1"
"579","G0687","2"
"580","G0689","1"
"581","G0690","2"
"582","G0691","1"
"583","G0692","1"
"584","G0693","1"
"585","G0694","2"
"586","G0695","1"
"587","G0696","1"
"588","G0697","1"
"589","G0698","1"
"590","G0699","1"
"591","G0700","1"
"592","G0701","1"
"593","G0702","2"
"594","G0703","2"
"595","G0704","1"
"596","G0705","1"
"597","G0706","2"
"598","G0707","1"
"599","G0708","2"
"600","G0709","1"
"601","G0710","1"
"602","G0711","1"
"603","G0712","2"
"604","G0713","1"
"605","G0714","2"
"606","G0715","1"
