EPCI 2024 : Communauté de communes Le Grésivaudan , Communauté d'agglomération du Pays Voironnais , Grenoble-Alpes-Métropole
(Géographie au  01/01/2024).;
communes.depcom;communes.nom_commune;Forêts - superficie totale en hectares (2013-2019);Part de la superficie des forêts dans la superficie IGN (2013-2019) (%);Moyenne du salaire net horaire moyen en 2015 (€);Evolution du nombre de logements totaux de 2015 à 2020 (%);Part du nombre de maisons dans l'ensemble des logements en 2020 (%);Part des personnes de 15 ans ou plus vivant seules en 2020 (%);Part des personnes mariées de 15 ans ou plus en 2020 (%);Part des personnes non mariées de 15 ans ou plus en 2020 (%);Part des personnes vivant en couple de 15 ans ou plus en 2020 (%);Part du nombre de familles avec 1 enfant de moins de 25 ans en 2020 (%);Part du nombre de familles avec 2 enfants de moins de 25 ans en 2020 (%);Part du nombre de familles avec 3 enfants de moins de 25 ans en 2020 (%);Part du nombre de familles avec 4 enfants ou plus de moins de 25 ans en 2020 (%);Part du nombre de familles sans enfants de moins de 25 ans en 2020 (%);;
38268;Le Moutaret;422.95;80.8;;0.89;95.5;10;45.87;54.13;72.07;33.63;14.08;8.05;0;44.25;
38270;La Murette;140.06;33.01;;2.8;81.3;14.53;50.81;49.19;65.39;18.39;23.67;6.56;1.56;49.81;
38271;Murianette;315.63;51.07;;3.36;83.78;11.83;52.21;47.79;65.95;17.7;23.08;11.4;0;47.81;
38277;Notre-Dame-de-Commiers;435.55;78.54;;8.44;97.27;8.4;49.94;50.06;69.2;34.13;25.39;6.46;3.28;30.74;
38279;Notre-Dame-de-Mésage;349.62;75.92;;1.01;84.84;11.99;59.27;40.73;70.69;13.98;16.21;7.92;1.26;60.63;
38281;Noyarey;1125.08;66.14;15.64;4.75;74.69;12.39;50.86;49.14;65.72;22.68;19.32;4.73;1.28;52;
38292;Villages du Lac de Paladru;522.14;22.52;;5.24;86.78;13.38;49.57;50.43;70.61;17.19;19.67;5.69;0.63;56.83;
38303;La Pierre;84.89;25.24;;5.12;91.29;8.4;48.64;51.36;68.19;19.35;41.95;3.23;3.23;32.24;
38309;Poisat;148.88;58.68;16.55;6.14;60.28;16.15;49.92;50.08;65.05;10.23;20.31;6.2;2.31;60.95;
38314;Pontcharra;677.04;42.21;13.93;5.36;49.9;18.03;44.07;55.93;62.84;20.6;22.15;7.61;2.91;46.73;
38317;Le Pont-de-Claix;101.95;17.94;12.77;0.51;15.49;18.41;43.72;56.28;55.73;24.5;19.94;9.3;4.5;41.76;
38325;Proveysieux;1821.45;90.25;;1.77;96.63;14.72;56.09;43.91;72.08;12.9;19.35;9.68;3.23;54.84;
38328;Quaix-en-Chartreuse;1406.15;76.84;;7.08;95.62;11.61;54.83;45.17;72.07;19.73;22.68;10.08;0;47.51;
38331;Réaumont;97.41;19.27;;6.77;94.06;9.71;51.41;48.59;70.51;20.68;23.33;12.24;0;43.75;
38334;Revel;1476.03;50.71;;2.83;93.68;11.37;51.16;48.84;70.18;21.69;20.48;6.02;2.41;49.4;
38337;Rives;171.44;15.26;13.53;10.64;40.61;20.1;40.03;59.97;58.51;23.6;21.44;6.88;1.99;46.09;
38350;Sainte-Agnès;1287.96;48.28;;0.26;97.07;8.25;52.12;47.88;75.37;26.45;17.59;5.85;0;50.11;
38362;Saint-Aupre;631.93;52.28;;6.81;95.08;10.01;53.62;46.38;73.13;16.67;22;5.46;1.35;54.51;
38364;Saint-Barthélemy-de-Séchilienne;1074.73;87.4;;-0.04;97.93;10.59;46.98;53.02;73.98;29.59;22.49;3.81;3.91;40.2;
38368;Saint-Blaise-du-Buis;110.08;19.67;;8.47;90.93;9.18;53.7;46.3;73.7;22.87;25.53;5.04;0;46.56;
38372;Saint-Bueil;157.12;39.92;;8.38;88.27;12.76;48.14;51.86;63.3;17.46;14.74;9.66;2.36;55.77;
38373;Saint-Cassien;91.27;16.15;;6.95;93.5;11.12;54.47;45.53;72.66;19.48;16.88;5.19;1.3;57.14;
38382;Saint-Égrève;252.2;23.22;16.27;8.25;33.67;20.54;45.97;54.03;60.82;21.55;21.8;6.87;1.66;48.12;
38383;Saint-Étienne-de-Crossey;498.9;37.99;16.85;3.82;88.8;13.42;55.61;44.39;70.6;19.63;18.38;6.69;0.52;54.78;
38386;Saint-Geoire-en-Valdaine;423.75;25.36;14.06;3.67;80.26;11.55;45.81;54.19;59.77;21.36;23.46;6.73;0;48.46;
38388;Saint-Georges-de-Commiers;1088.29;76.32;15.6;14.3;86.85;8.98;51.86;48.14;71.47;19.62;25.99;4.45;0.64;49.31;
38395;Plateau-des-Petites-Roches;2393.46;65.29;;3.31;74.42;15.43;39.24;60.76;65.39;22.83;27.46;8.44;2.4;38.87;
38397;Saint-Ismier;633.05;42.69;23.95;12.01;67.56;14.6;54.51;45.49;67.73;19.24;19.38;5.49;0.84;55.04;
38400;Saint-Jean-de-Moirans;50.65;7.83;16.02;6.66;71.11;12.71;48.36;51.64;65.12;20.79;26.37;6.98;1.77;44.09;
38404;Saint-Jean-le-Vieux;347.91;74.38;;7.7;96.55;9.16;56.77;43.23;75.67;17.24;24.26;6.58;0;51.91;
38407;La Sure en Chartreuse;1831.31;66.02;;3.93;91.67;11.99;49.4;50.6;70.5;16.13;17.74;6.45;0;59.68;
38417;Sainte-Marie-d'Alloix;69.3;22.35;;4.2;91.77;10.98;46.94;53.06;65.87;20.73;23.67;6.6;3.3;45.7;
38418;Sainte-Marie-du-Mont;1668.7;69.94;;1.89;91.31;23.41;31.92;68.08;55.33;18.18;27.27;0;9.09;45.45;
38421;Saint-Martin-d'Hères;154.28;16.28;13.26;2.54;11.66;24.06;35.09;64.91;47.26;23.43;21.22;8.35;2.5;44.5;
38422;Saint-Martin-d'Uriage;2381.72;67.15;21.9;5.17;73.83;13.24;52.94;47.06;70.71;18.22;21.77;7.42;0.84;51.76;
38423;Saint-Martin-le-Vinoux;553.31;55.74;14.38;6.59;30.91;19.57;40.52;59.48;55.18;21.93;20.23;8.33;2.49;47.03;
38426;Saint-Maximin;733.86;71.13;;3.13;92.82;14.39;56.78;43.22;71.64;18.99;20.8;4.49;0;55.72;
38430;Saint-Mury-Monteymond;822.18;75.87;;5.34;94.1;13.38;49.73;50.27;71.52;24.13;17.61;4.08;0;54.18;
38431;Saint-Nazaire-les-Eymes;302.27;34.46;22.39;3.59;81.13;9.91;55.27;44.73;71.93;15.55;25.06;4.73;0.53;54.12;
38432;Saint-Nicolas-de-Macherin;647.34;60.81;;8.31;89.61;10.53;55.16;44.84;75.39;13.4;27.5;6.03;0;53.08;
38436;Saint-Paul-de-Varces;1308.24;65.75;18.29;6.4;94.56;9.5;57.57;42.43;76.77;15.37;24.46;5.73;1.8;52.64;
38439;Crêts en Belledonne;2425.56;72.57;14.84;2.49;85.36;11.9;49.31;50.69;68.62;17.76;27.36;8.7;1.01;45.17;
38445;Saint-Pierre-de-Mésage;590.19;83.86;;1.19;93.54;11.01;56.78;43.22;71.56;8.48;30.09;4.36;4.41;52.66;
38460;Saint-Sulpice-des-Rivoires;165.27;23.19;;-0.47;94.39;9.78;53.63;46.37;75.98;22.58;19.35;3.23;0;54.84;
38466;Saint-Vincent-de-Mercuze;285.03;36.6;;1.23;88.83;11.97;52.26;47.74;64.94;15.14;17.42;4.86;0.92;61.66;
38471;Le Sappey-en-Chartreuse;1098.7;73.12;;1.76;82.29;12.78;49.77;50.23;70.94;25.76;22.73;9.1;1.52;40.89;
